Назва набору даних,Основний словник або модель даних,"Додаткові та/або альтернативні основні словники, моделі даних",Коментар
"Довідник підприємств, установ (закладів) та організацій розпорядника інформації та підпорядкованих йому організацій",ISA2 Core Public Organisation Vocabulary,"vCard Ontology, Schema.org",
Інформація про організаційну структуру розпорядника інформації,W3C The Organization Ontology,,
"Нормативи, що затверджуються та підлягають оприлюдненню відповідно до закону розпорядником інформації",Dublin Core Metadata Initiative,,"Набір оприлюднюється у формі переліку, що містить посилання на документи у мережі Інтернет."
"Переліки національних стандартів, які в разі добровільного застосування є доказом відповідності продукції вимогам технічних регламентів",Dublin Core Metadata Initiative,,
"Звіти, в тому числі щодо задоволення запитів на інформацію",Dublin Core Metadata Initiative,,
"Інформація про систему обліку, види інформації, яка зберігається розпорядником",Data Catalog Vocabulary,Dublin Core Metadata Initiative,
"Реєстр наборів даних, що перебувають у володінні розпорядника інформації",Data Catalog Vocabulary,Dublin Core Metadata Initiative,
"Адміністративні дані, що збираються (обробляються) та підлягають оприлюдненню відповідно до вимог закону, розпорядника інформації",,,Необхідно роз'яснення Державного агентства з питань електронного урядування України щодо змісту даних набору.
"Нормативно-правові акти, акти індивідуальної дії (крім внутрішньоорганізаційних), прийняті розпорядником інформації, проекти рішень, що підлягають обговоренню, інформація, визначена законодавством про засади регуляторної політики",Dublin Core Metadata Initiative,"Akoma Ntoso, MetaLex, Functional Requirements for Bibliographic Records ","Набір оприлюднюється у формі переліку, що містить посилання на документи у мережі Інтернет."
Фінансова звітність суб’єктів господарювання державного сектору економіки,,,"Відповідно до форми затвердженої Наказом Міністерства фінансів України ""Про затвердження Національного положення (стандарту) бухгалтерського обліку 1 «Загальні вимоги до фінансової звітності»"" від 07.02.2013  № 73"
"Переліки регуляторних актів із зазначенням дати набрання чинності, строку проведення базового, повторного та періодичного відстеження їх результативності та інформації про місце їх оприлюднення",Dublin Core Metadata Initiative,"W3C The Organization Ontology, Schema.org, Simple Knowledge Organization System, RDF Schema",
Звіти про виконання фінансових планів суб’єктів господарювання державного сектору економіки,,,"Відповідно до форми затвердженої Наказом Міністерства економічного розвитку і торгівлі України ""Про затвердження Порядку складання, затвердження та контролю виконання фінансового плану суб’єкта господарювання державного сектору економіки"" від 02.03.2015  № 205."
Основні положення генеральних планів населених пунктів та детальних планів територій,,,Набір містить просторові дані.
Перелік об’єктів комунальної власності,Open Contracting Data Standard (openregistry.assets.bounce),,
"Перелік об’єктів комунальної власності, що передані в оренду чи інше право користування (з даними про умови передачі об’єктів в оренду)",Open Contracting Data Standard (openregistry.assets.bounce),,
"Перелік незадіяних земельних ділянок і майнових об’єктів (приміщень) комунальної форми власності, які можуть бути передані в користування",Open Contracting Data Standard (openregistry.assets.bounce),,
Результати радіаційного контролю,,,Розпорядником даних є Державна служба з надзвичайних ситуацій України.
"Інформація про використання публічних коштів під час будівництва, ремонту та реконструкції об’єктів дорожньої інфраструктури та хід виконання проектів",Open Contracting Data Standard,,Розглянути можливість отримання даних через API Єдиного веб-порталу використання публічних коштів та Prozorro.
